Tarih,Saat,Tüketim Miktarý (MWh)
01/01/2016,0:00,"26.277,24"
01/01/2016,1:00,"24.991,82"
01/01/2016,2:00,"23.532,61"
01/01/2016,3:00,"22.464,78"
01/01/2016,4:00,"22.002,91"
01/01/2016,5:00,"21.957,08"
01/01/2016,6:00,"22.203,54"
01/01/2016,7:00,"21.844,16"
01/01/2016,8:00,"23.094,73"
01/01/2016,9:00,"25.202,27"
01/01/2016,10:00,"27.224,96"
01/01/2016,11:00,"28.908,04"
01/01/2016,12:00,"28.789,25"
01/01/2016,13:00,"29.367,70"
01/01/2016,14:00,"29.548,32"
01/01/2016,15:00,"29.390,89"
01/01/2016,16:00,"30.734,97"
01/01/2016,17:00,"32.048,02"
01/01/2016,18:00,"31.438,11"
01/01/2016,19:00,"30.728,47"
01/01/2016,20:00,"30.166,14"
01/01/2016,21:00,"29.461,28"
01/01/2016,22:00,"29.242,83"
01/01/2016,23:00,"28.069,09"
01/02/2016,0:00,"26.224,60"
01/02/2016,1:00,"24.708,58"
01/02/2016,2:00,"23.771,58"
01/02/2016,3:00,"22.921,29"
01/02/2016,4:00,"22.870,89"
01/02/2016,5:00,"23.325,63"
01/02/2016,6:00,"23.604,98"
01/02/2016,7:00,"24.022,70"
01/02/2016,8:00,"26.930,48"
01/02/2016,9:00,"30.043,60"
01/02/2016,10:00,"32.102,38"
01/02/2016,11:00,"33.431,89"
01/02/2016,12:00,"32.910,61"
01/02/2016,13:00,"32.887,61"
01/02/2016,14:00,"32.796,18"
01/02/2016,15:00,"32.594,55"
01/02/2016,16:00,"33.358,47"
01/02/2016,17:00,"34.387,95"
01/02/2016,18:00,"33.591,26"
01/02/2016,19:00,"32.648,83"
01/02/2016,20:00,"31.897,73"
01/02/2016,21:00,"31.049,20"
01/02/2016,22:00,"30.906,43"
01/02/2016,23:00,"29.621,09"
01/03/2016,0:00,"27.613,96"
01/03/2016,1:00,"25.779,28"
01/03/2016,2:00,"24.566,31"
01/03/2016,3:00,"23.878,42"
01/03/2016,4:00,"23.511,38"
01/03/2016,5:00,"23.672,32"
01/03/2016,6:00,"23.827,08"
01/03/2016,7:00,"23.405,11"
01/03/2016,8:00,"24.638,72"
01/03/2016,9:00,"26.802,38"
01/03/2016,10:00,"28.779,88"
01/03/2016,11:00,"30.204,30"
01/03/2016,12:00,"30.588,30"
01/03/2016,13:00,"30.902,63"
01/03/2016,14:00,"31.056,47"
01/03/2016,15:00,"30.979,53"
01/03/2016,16:00,"32.297,46"
01/03/2016,17:00,"33.462,96"
01/03/2016,18:00,"33.151,03"
01/03/2016,19:00,"32.450,21"
01/03/2016,20:00,"32.093,93"
01/03/2016,21:00,"31.315,16"
01/03/2016,22:00,"31.014,19"
01/03/2016,23:00,"29.462,06"
01/04/2016,0:00,"27.103,09"
01/04/2016,1:00,"25.439,84"
01/04/2016,2:00,"24.395,07"
01/04/2016,3:00,"23.961,03"
01/04/2016,4:00,"23.860,63"
01/04/2016,5:00,"24.418,47"
01/04/2016,6:00,"25.708,59"
01/04/2016,7:00,"27.455,39"
01/04/2016,8:00,"32.982,07"
01/04/2016,9:00,"37.175,84"
01/04/2016,10:00,"38.606,67"
01/04/2016,11:00,"39.659,57"
01/04/2016,12:00,"38.416,32"
01/04/2016,13:00,"39.279,26"
01/04/2016,14:00,"39.661,98"
01/04/2016,15:00,"39.211,00"
01/04/2016,16:00,"39.760,12"
01/04/2016,17:00,"39.633,29"
01/04/2016,18:00,"37.621,41"
01/04/2016,19:00,"35.954,18"
01/04/2016,20:00,"35.114,12"
01/04/2016,21:00,"34.066,40"
01/04/2016,22:00,"33.686,83"
01/04/2016,23:00,"31.733,54"
01/05/2016,0:00,"29.244,38"
01/05/2016,1:00,"27.637,23"
01/05/2016,2:00,"26.335,78"
01/05/2016,3:00,"25.870,23"
01/05/2016,4:00,"25.975,07"
01/05/2016,5:00,"26.318,48"
01/05/2016,6:00,"27.109,29"
01/05/2016,7:00,"28.570,22"
01/05/2016,8:00,"33.106,00"
01/05/2016,9:00,"36.657,12"
01/05/2016,10:00,"37.776,49"
01/05/2016,11:00,"38.664,22"
01/05/2016,12:00,"37.522,11"
01/05/2016,13:00,"37.820,69"
01/05/2016,14:00,"38.086,11"
01/05/2016,15:00,"37.834,89"
01/05/2016,16:00,"38.599,34"
01/05/2016,17:00,"38.669,63"
01/05/2016,18:00,"36.954,78"
01/05/2016,19:00,"35.306,11"
01/05/2016,20:00,"34.301,59"
01/05/2016,21:00,"33.400,82"
01/05/2016,22:00,"33.359,37"
01/05/2016,23:00,"31.629,97"
01/06/2016,0:00,"29.189,27"
01/06/2016,1:00,"27.614,02"
01/06/2016,2:00,"26.578,97"
01/06/2016,3:00,"25.719,19"
01/06/2016,4:00,"25.864,63"
01/06/2016,5:00,"25.918,59"
01/06/2016,6:00,"27.091,94"
01/06/2016,7:00,"28.533,05"
01/06/2016,8:00,"33.203,34"
01/06/2016,9:00,"36.257,22"
01/06/2016,10:00,"37.212,91"
01/06/2016,11:00,"37.844,74"
01/06/2016,12:00,"36.194,13"
01/06/2016,13:00,"36.542,73"
01/06/2016,14:00,"36.847,22"
01/06/2016,15:00,"36.433,88"
01/06/2016,16:00,"37.581,09"
01/06/2016,17:00,"37.304,52"
01/06/2016,18:00,"35.832,00"
01/06/2016,19:00,"34.499,94"
01/06/2016,20:00,"33.670,00"
01/06/2016,21:00,"32.931,12"
01/06/2016,22:00,"32.913,06"
01/06/2016,23:00,"31.450,65"
01/07/2016,0:00,"28.763,95"
01/07/2016,1:00,"27.284,84"
01/07/2016,2:00,"26.321,95"
01/07/2016,3:00,"25.748,49"
01/07/2016,4:00,"25.636,58"
01/07/2016,5:00,"25.932,52"
01/07/2016,6:00,"26.963,74"
01/07/2016,7:00,"28.444,83"
01/07/2016,8:00,"32.804,27"
01/07/2016,9:00,"35.608,30"
01/07/2016,10:00,"36.500,83"
01/07/2016,11:00,"37.350,92"
01/07/2016,12:00,"35.900,99"
01/07/2016,13:00,"36.800,39"
01/07/2016,14:00,"37.376,83"
01/07/2016,15:00,"37.100,43"
01/07/2016,16:00,"37.668,65"
01/07/2016,17:00,"37.906,99"
01/07/2016,18:00,"35.841,62"
01/07/2016,19:00,"34.621,65"
